itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,collected_at
069500,1,KODEX 200,109285,3,0,0.0,109612.0,-25.479,0,0,252339,2026-09-20 23:22:48
360750,4,TIGER 미국S&P500,26280,3,0,0.0,26198.0,-7.0094,0,0,209360,2026-09-20 23:22:48
133690,4,TIGER 미국나스닥100,181225,3,0,0.0,180377.0,-10.6685,0,0,118739,2026-09-20 23:22:48
379800,4,KODEX 미국S&P500,23885,3,0,0.0,23814.0,-7.0333,0,0,103876,2026-09-20 23:22:48
102110,1,TIGER 200,109560,3,0,0.0,109874.0,-25.2108,0,0,101288,2026-09-20 23:22:48
396500,2,TIGER 반도체TOP10,37000,3,0,0.0,37152.0,-32.0852,0,0,98439,2026-09-20 23:22:48
379810,4,KODEX 미국나스닥100,27090,3,0,0.0,26956.0,-10.6924,0,0,95885,2026-09-20 23:22:48
488770,7,KODEX 머니마켓액티브,105575,3,0,0.0,105564.0,0.879,0,0,92074,2026-09-20 23:22:48
278530,1,KODEX 200TR,39555,3,0,0.0,39698.0,-25.3257,0,0,76895,2026-09-20 23:22:48
459580,6,KODEX CD금리액티브(합성),1075235,3,0,0.0,1075501.0,0.7341,0,0,69455,2026-09-20 23:22:48
498400,2,KODEX 200타겟위클리커버드콜,20365,3,0,0.0,20399.0,-24.7642,0,0,60219,2026-09-20 23:22:48
381180,4,TIGER 미국필라델피아반도체나스닥,42165,3,0,0.0,41750.0,-23.2936,0,0,57197,2026-09-20 23:22:48
122630,3,KODEX 레버리지,109265,3,0,0.0,109921.0,-53.4697,0,0,56872,2026-09-20 23:22:48
091160,2,KODEX 반도체,130545,3,0,0.0,131142.0,-28.4685,0,0,56493,2026-09-20 23:22:48
0167A0,2,SOL AI반도체TOP2플러스,17660,3,0,0.0,17751.0,-36.6344,0,0,55179,2026-09-20 23:22:48
229200,1,KODEX 코스닥150,13830,3,0,0.0,13865.0,-21.6431,0,0,46095,2026-09-20 23:22:48
310970,1,TIGER MSCI Korea TR,48780,3,0,0.0,48978.0,-25.9788,0,0,45317,2026-09-20 23:22:48
148020,1,RISE 200,110225,3,0,0.0,110444.0,-25.3061,0,0,44751,2026-09-20 23:22:48
458730,4,TIGER 미국배당다우존스,14815,3,0,0.0,14795.0,-3.7714,0,0,43415,2026-09-20 23:22:48
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13695,3,0,0.0,13718.0,-13.3327,0,0,41510,2026-09-20 23:22:48
411060,5,ACE KRX금현물,27305,3,0,0.0,27252.0,-5.8611,0,0,40848,2026-09-20 23:22:48
395160,2,KODEX AI반도체TOP2플러스,40220,3,0,0.0,40412.0,-32.6862,0,0,40341,2026-09-20 23:22:48
360200,4,ACE 미국S&P500,26565,3,0,0.0,26485.0,-7.005,0,0,40166,2026-09-20 23:22:48
381170,4,TIGER 미국테크TOP10 INDXX,31675,3,0,0.0,31441.0,-3.7088,0,0,39134,2026-09-20 23:22:48
423160,6,KODEX KOFR금리액티브(합성),110845,3,0,0.0,110828.0,0.7203,0,0,36383,2026-09-20 23:22:48
395270,2,HANARO Fn K-반도체,57375,3,0,0.0,57584.0,-31.8263,0,0,35974,2026-09-20 23:22:48
273130,6,KODEX 종합채권(AA-이상)액티브,109775,3,0,0.0,109710.0,-0.858,0,0,35402,2026-09-20 23:22:48
367380,4,ACE 미국나스닥100,31150,3,0,0.0,30991.0,-10.7538,0,0,35324,2026-09-20 23:22:48
357870,6,TIGER CD금리투자KIS(합성),58085,3,0,0.0,58082.0,0.772,0,0,33788,2026-09-20 23:22:48
233740,3,KODEX 코스닥150레버리지,6695,3,0,0.0,6745.0,-46.1384,0,0,33716,2026-09-20 23:22:48
487240,2,KODEX AI전력핵심설비,37585,3,0,0.0,37798.0,-18.5351,0,0,33000,2026-09-20 23:22:48
102780,2,KODEX 삼성그룹,25665,3,0,0.0,25734.0,-25.5656,0,0,32877,2026-09-20 23:22:48
455890,6,RISE 머니마켓액티브,55560,3,0,0.0,55564.0,0.8439,0,0,30940,2026-09-20 23:22:48
0043B0,6,TIGER 머니마켓액티브,103705,3,0,0.0,103706.0,0.9294,0,0,30191,2026-09-20 23:22:48
139260,2,TIGER 200 IT,137380,3,0,0.0,138154.0,-31.3295,0,0,26707,2026-09-20 23:22:48
426030,4,TIME 미국나스닥100액티브,47040,3,0,0.0,46499.0,-22.2929,0,0,25797,2026-09-20 23:22:48
472150,2,TIGER 배당커버드콜액티브,20535,3,0,0.0,20573.0,-24.3122,0,0,25786,2026-09-20 23:22:48
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10550,3,0,0.0,10500.0,-10.7834,0,0,25573,2026-09-20 23:22:48
481050,6,KODEX CD1년금리플러스액티브(합성),1023395,3,0,0.0,1023455.0,0.7937,0,0,25572,2026-09-20 23:22:48
0193T0,2,KODEX SK하이닉스단일종목레버리지,11715,3,0,0.0,11846.0,-68.2521,0,0,24361,2026-09-20 23:22:48
278540,1,KODEX MSCI Korea TR,38830,3,0,0.0,38991.0,-26.0945,0,0,23919,2026-09-20 23:22:48
161510,2,PLUS 고배당주,24975,3,0,0.0,24881.0,-3.0548,0,0,23894,2026-09-20 23:22:48
449170,6,TIGER KOFR금리액티브(합성),111920,3,0,0.0,111917.0,0.6972,0,0,23865,2026-09-20 23:22:48
385540,6,RISE 종합채권(A-이상)액티브,102815,3,0,0.0,102861.0,-0.8774,0,0,21744,2026-09-20 23:22:48
456600,4,TIME 글로벌AI인공지능액티브,58810,3,0,0.0,58283.0,-20.4142,0,0,21101,2026-09-20 23:22:48
284430,6,KODEX 200미국채혼합50,20850,3,0,0.0,20872.0,-16.7505,0,0,20216,2026-09-20 23:22:48
292150,2,TIGER 코리아TOP10,38420,3,0,0.0,38485.0,-24.6633,0,0,19133,2026-09-20 23:22:48
214980,6,KODEX 단기채권PLUS,114425,3,0,0.0,114442.0,0.6788,0,0,18262,2026-09-20 23:22:48
294400,1,KIWOOM 200TR,143645,3,0,0.0,143913.0,-24.9543,0,0,18171,2026-09-20 23:22:48
305720,2,KODEX 2차전지산업,14670,3,0,0.0,14663.0,-13.9842,0,0,17252,2026-09-20 23:22:48
441640,4,KODEX 미국배당커버드콜액티브,12440,3,0,0.0,12456.0,-6.0337,0,0,17117,2026-09-20 23:22:48
442580,4,PLUS 글로벌HBM반도체,101235,3,0,0.0,100521.0,-27.9723,0,0,17099,2026-09-20 23:22:48
105190,1,ACE 200,109580,3,0,0.0,109869.0,-25.4249,0,0,16821,2026-09-20 23:22:48
475630,7,TIGER CD1년금리액티브(합성),1077725,3,0,0.0,1077720.0,0.7911,0,0,16800,2026-09-20 23:22:48
368590,4,RISE 미국나스닥100,30230,3,0,0.0,30067.0,-10.6511,0,0,16022,2026-09-20 23:22:48
0195S0,2,TIGER SK하이닉스단일종목레버리지,9945,3,0,0.0,10058.0,-68.2522,0,0,15877,2026-09-20 23:22:48
446770,4,ACE 글로벌반도체TOP4 Plus,78360,3,0,0.0,77863.0,-21.5719,0,0,15829,2026-09-20 23:22:48
329200,2,TIGER 리츠부동산인프라,4075,3,0,0.0,4041.0,-1.2488,0,0,15648,2026-09-20 23:22:48
477080,6,RISE CD금리액티브(합성),107635,3,0,0.0,107636.0,0.7393,0,0,15462,2026-09-20 23:22:48
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14385,3,0,0.0,14428.0,-13.5692,0,0,15334,2026-09-20 23:22:48
379780,4,RISE 미국S&P500,22980,3,0,0.0,22901.0,-7.0167,0,0,15052,2026-09-20 23:22:48
152100,1,PLUS 200,110900,3,0,0.0,111297.0,-25.3471,0,0,14916,2026-09-20 23:22:48
487230,4,KODEX 미국AI전력핵심인프라,19860,3,0,0.0,19603.0,-25.5338,0,0,14905,2026-09-20 23:22:48
453850,6,ACE 미국30년국채액티브(H),7150,3,0,0.0,7149.0,-4.6461,0,0,14851,2026-09-20 23:22:48
466920,2,SOL 조선TOP3플러스,27710,3,0,0.0,27597.0,-27.0598,0,0,14659,2026-09-20 23:22:48
226490,1,KODEX 코스피,70600,3,0,0.0,70872.0,-24.2576,0,0,14438,2026-09-20 23:22:48
